case id,prom1_unstranded,prom1_stranded_first,prom1_stranded_second,prom1_tpm_unstrande,prom1_fpkm_unstranded,prom1_fpkm_uq_unstranded,prom2_unstranded,prom2_stranded_first,prom2_stranded_second,prom2_tpm_unstrande,prom2_fpkm_unstranded,prom2_fpkm_uq_unstranded
01ea6354-137b-47f3-9021-a01a382b1147,619,304,315,6.4988,2.6009,2.9675,1732,858,874,22.3502,8.9448,10.2056
45baebac-32ae-4093-9eba-488b95c1a58d,1047,536,514,5.6652,2.3836,3.1529,10343,5262,5082,68.7865,28.9417,38.282
0484a929-7a7f-4926-8d25-470ddab082ec,145,70,75,0.6499,0.2415,0.2657,8836,4476,4364,48.6792,18.0855,19.9027
17181157-c9e2-4bd6-8653-f5dce56f9053,592,281,311,3.6043,1.2508,1.5442,7426,3724,3705,55.5701,19.285,23.8078
f1cb3d48-1415-408d-89d1-dfdcc5924963,8651,4288,4365,60.1635,13.8411,14.0994,2321,1179,1144,19.8396,4.5642,4.6494
c3e443b9-5dc5-4793-91e3-534f21485268,765,376,389,4.4471,1.3842,1.4025,2756,1396,1360,19.6917,6.1292,6.2102
48f831b0-5d91-44ae-bc4e-db57ca84fe46,65,29,36,0.476,0.1385,0.1371,4756,2451,2310,42.8043,12.4551,12.3285
02594e5e-8751-47c1-9245-90c66984b665,3823,1890,1933,17.7805,5.6875,5.6064,16347,8218,8129,93.4475,29.8914,29.4652
1858b58f-fdf4-413c-9c29-96ae85b88a74,4182,2133,2049,22.1627,7.1162,7.914,2665,1320,1347,17.3591,5.5738,6.1987
b25570ed-baca-4e3f-87c6-2ef18119ba49,976,527,449,4.2322,1.6862,1.9906,4514,2233,2284,24.0583,9.5854,11.316
8e1b8811-1eb2-4337-852c-c19eaa0ee418,300,147,153,1.8059,0.7001,0.8168,1823,936,888,13.4879,5.2292,6.1009
60cce7ac-d27d-44a6-9873-ecf91da5e906,35,16,20,0.1675,0.0596,0.0579,7767,3841,3927,45.6852,16.2633,15.7954
2dfd8a0e-e642-49b3-abd7-f0334927eebb,133,59,74,1.2277,0.5985,0.7602,1584,830,754,17.9714,8.7612,11.1276
29949b65-2913-4c86-bbd7-b85c5df6f15e,54,35,19,0.3671,0.128,0.1432,2903,1463,1441,24.2561,8.4546,9.4611
47681e4b-01e8-4779-b966-ce57aff4b712,4450,2241,2209,61.5833,19.2105,19.9366,3815,1921,1894,64.8914,20.2425,21.0076
fd4740db-76a8-4362-be71-7b609479bb67,2690,1305,1386,26.077,7.5337,8.3918,910,473,437,10.8427,3.1325,3.4893
5c6f3cd4-19c5-418d-b1be-d3fbf63e99db,244,121,123,0.6468,0.2419,0.3257,11207,5627,5584,36.5158,13.6544,18.3877
71faa2c1-0d5b-4dcc-bdf9-f2405f29907c,66,34,32,0.4575,0.1422,0.1383,4857,2426,2433,41.3856,12.861,12.5117
708eec28-2348-4e15-b98c-8c6f9d057b1e,104,50,54,0.6515,0.2244,0.265,14160,6945,7218,109.0259,37.5477,44.3426
42b3dfa3-152f-4ab7-ac9f-988c7f473bea,102,51,51,1.0688,0.4249,0.4609,1617,771,847,20.8261,8.2786,8.9812
6a57948c-0dc5-4ea2-8043-380f26763752,30,7,23,0.1615,0.0608,0.0804,5897,2973,2926,39.028,14.6884,19.429
